card name,question,answer
"Hemogoblet","Can I attempt to fill the Hemogoblet if it's already full?","No, you must empty it first."
"","When hemogoblet is emptied, do I gain mana or life equal to the power of the minion at that moment, or the power of the minion at the time of sacrifice?","At the time of sacrifice. Make note of the minion's power when you fill the hemogoblet!"
"Highland Falconer","What does 'shuffle if needed' mean?","If you searched your spellbook, shuffle it. If you end up summoning a beast from your hand, you may still have searched your spellbook if you wanted."
"Hillock Basilisk","If I summon a minion to a location affected by Hillock Basilisk, will my minion's Genesis ability resolve?","Yes, the minion will not be at rest until all of its events on the storyline are resolved, including its Genesis ability."
"Hillside Chapel","If the allied minion was already tapped before using this ability on them, do they still gain Ward?","Yes, you resolve as much of this ability as you can. Granting the Ward is not contingent on the minion being untapped beforehand."
"Horn of Caerleon","If my minion gains charge from the Horn to Move and Attack and then leaves the Horn's range, can it finish the attack?","Yes, as the minion has already tapped, the rest of the Move and Attack will resolve. Once a charge has been sounded in the heat of battle, there's no stopping it!"
"Horns of Behemoth","Does it turn into a Demon minion?","Yes, it becomes a minion with the Demon type, and is no longer a site."
"","When it awakens, is it summoning sick?","Assuming it was in the realm prior to the turn it awakened, it is not summoning sick (since it was already under your control prior to this turn)."
"","Is the ability optional?","Yes. It is an activated ability with no cost and a threshold requirement. Like all activated abilities, you can only activate it during your Main Phase when nothing else is happening, but you are not required to activate it."
"","Does it continue to provide fire affinity after it transforms into a Demon?","Yes. The transformed Demon provides affinity, due to the golden rule. Obviously, if the Demon dies, you will lose that affinity."
"","What happens if you copy this after it has transformed?","Since transform effects permanently change the characteristics of the card, as opposed to temporary modifications of characteristics (i.e. [[Overpower]]), the copy effect will take on those new characteristics.  For instance, a [[Selfsame Simulacrum]] copying an [[Island Leviathan]] that has been transformed will enter play as an 8-power Monster minion that provides one water affinity."
"Hotwheel","Does this strike a unit at the location it was summoned to?","No, since it will enter that location before its Genesis ability begins to resolve. It will only strike a unit at each of the two new locations it enters while resolving its Genesis."
"Hounds of Ondaros","What does it mean to 'permanently lose stealth'?","Simply remove the stealth token. It does not prevent the minion from gaining stealth later."
"Howl from Beyond","How do I resolve this effect?","Deal face up, one at a time. Then, draw the voidwalk minions and Monsters, and banish the rest. No minions actually 'enter' the realm with this effect."
"Hyperparasite","Is the minion only disabled while being carried?","Yes, if the minion is no longer carried, it is no longer disabled."
"","What happens if the Hyperparasite is Silenced or Disabled while carrying a minion?","As per the rules about Carrying Units, if this loses its ability to carry a minion, that minion is no longer carried, and no longer disabled by this ability."
"","Can this choose to drop the minion it is carrying?","Yes, abilities which allow a unit to pick up other units also allow them to drop them."
"","If this stops carrying a minion can it pick up another minion?","Yes, it can pick up another minion, or the same minion again."
"","Can this be moved by force while carrying a minion?","Yes.  It cannot take its own steps while carrying a minion.  It can still be moved by force."
"Ice Lance","If Ice Lance doesn't hit anything at the first location where the projectile appears, and then hits something at the 2nd location, how much damage does it do at that 2nd location?","2 damage at the 2nd location. Ice Lance's damage decreases based on locations the projectile enters, not based on how many things it hits or doesn't hit."
